"","PrimaryKey","ANNUAL.FORB","ANNUAL.GRASS","PERENNIAL.FORB","PERENNIAL.GRASS","PERENNIAL.SHRUB","PERENNIAL.SUBSHRUB","PERENNIAL.SUCCULENT"
"1","15050113465465692015-05-05",0.08424599831508,0.08424599831508,4.88626790227464,20.4717775905644,8.93007582139848,0.50547598989048,0
"2","15050113465465692015-09-24",0,0,6.32377740303541,19.64586846543,10.2866779089376,1.01180438448567,0
"3","15050113465465692016-03-28",0.252951096121417,0,1.60202360876897,14.3338954468803,5.90219224283305,0.337268128161889,0
"4","15050113465465692016-07-19",0.16849199663016,0,1.01095197978096,11.8786857624263,9.51979780960404,0.4212299915754,0
"5","15050113465465692016-10-24",0,0.08424599831508,1.17944397641112,12.8053917438922,9.60404380791912,0.25273799494524,0
"6","15050113465465692017-03-29",0,0,0.67396798652064,7.91912384161752,5.8972198820556,0,0
"7","15050113465465692017-08-08",0.33698399326032,0,3.62257792754844,12.0471777590564,11.7944397641112,0.8424599831508,0
"8","15050113465465692017-11-14",0.421585160202361,0,5.1433389544688,14.4182124789207,10.9612141652614,0.843170320404722,0
"9","15050113465465692018-03-08",0,0,0.75821398483572,12.0471777590564,6.57118786857624,0.50547598989048,0
"10","15050113465465692018-06-11",0,0,1.85341196293176,11.2047177759056,13.3951137320977,0.08424599831508,0
"11","15050113465465692018-10-03",0,0,1.43338954468803,9.35919055649241,12.8161888701518,0.674536256323777,0
"12","15050113465465692019-03-05",0.0843170320404722,0.0843170320404722,0.505902192242833,8.43170320404722,6.82967959527825,0.0843170320404722,0
"13","15050113465465692019-06-07",0.08424599831508,0,1.76916596461668,7.07666385846672,15.5855096882898,0.50547598989048,0
"14","15050113465465692019-09-18",0.168634064080944,0,2.02360876897133,8.68465430016863,15.3456998313659,0.674536256323777,0
"15","15050113465465692019-10-31",0.16849199663016,0,0.67396798652064,7.5821398483572,14.743049705139,1.09519797809604,0
"16","15050113465465692019-12-13",0.168776371308017,0,0.843881856540084,8.43881856540084,8.10126582278481,0.843881856540084,0
"17","15050113465465692020-03-24",1.18143459915612,0,0.337552742616034,6.91983122362869,7.51054852320675,1.26582278481013,0
"18","15050113465465692020-06-08",1.60067396798652,0,1.34793597304128,6.318449873631,17.0176916596462,2.78011794439764,0
"19","15050113465465692020-09-15",0.590717299578059,0,2.36286919831224,5.82278481012658,16.9620253164557,4.05063291139241,0
"20","15050113465465692020-12-14",0.843170320404722,0,0.505902192242833,5.22765598650927,9.35919055649241,3.20404721753794,0
